id_pedido,id_cliente,data_pedido,valor_total,id_produto_associado
1,3587,2024-11-03,3058.79,955
2,1878,2023-08-19,3665.63,304
3,150,2024-07-31,4509.84,909
4,221,2023-09-28,1687.81,373
5,2880,2023-06-23,1833.82,491
6,1243,2024-03-23,4434.29,859
7,691,2024-01-13,2141.66,223
8,3832,2024-10-02,1143.4,617
9,4477,2024-12-13,1678.96,949
10,1821,2024-03-08,3637.21,722
11,2465,2024-10-15,3490.69,869
12,3016,2023-01-20,1007.79,651
13,4995,2023-12-07,434.68,995
14,3481,2023-07-27,4915.39,266
15,2308,2024-05-31,4526.39,663
16,1261,2023-05-23,940.91,4
17,4594,2023-12-08,718.52,336
18,2059,2024-11-04,1985.05,619
19,4155,2023-01-30,54.13,2
20,921,2024-02-21,72.3,610
21,704,2024-07-21,2748.13,213
22,591,2023-06-06,1295.99,930
23,4281,2023-11-17,1859.75,957
24,2534,2023-01-02,4954.68,565
25,1440,2023-07-02,3473.26,430
26,4330,2024-10-27,2910.99,276
27,3599,2024-04-30,99.31,60
28,1257,2023-12-01,4085.91,739
29,1463,2023-06-14,2721.19,886
30,975,2023-10-14,4177.19,705
31,3216,2023-07-04,4950.74,477
32,2856,2024-06-07,3605.87,371
33,4640,2024-05-14,4130.21,295
34,2797,2023-06-24,2363.42,327
35,1177,2023-07-22,2010.06,66
36,423,2023-04-02,1345.92,666
37,1942,2023-06-08,2013.91,197
38,4310,2024-06-27,1622.52,590
39,4807,2024-09-16,4731.15,997
40,4659,2024-05-14,988.5,860
41,2444,2023-01-25,3283.71,506
42,2378,2023-12-15,2934.62,5
43,548,2023-10-05,2704.57,476
44,702,2023-09-14,3440.96,747
45,2999,2023-06-17,1802.01,347
46,1856,2024-03-21,742.58,436
47,1692,2023-04-25,2343.34,17
48,2828,2024-05-27,4190.43,546
49,3007,2024-03-24,1331.13,946
50,4595,2024-05-12,2569.71,43
51,2432,2024-10-27,1707.32,647
52,1471,2023-11-07,3683.37,540
53,800,2024-04-13,3790.38,185
54,2945,2024-09-01,2172.85,853
55,947,2023-12-19,4366.05,280
56,3311,2023-11-28,4698.03,118
57,2097,2023-02-04,2036.01,111
58,2126,2024-06-06,3678.15,275
59,4747,2023-01-09,2288.43,518
60,636,2024-09-07,3786.09,42
61,2483,2023-05-19,1803.94,998
62,2904,2023-06-15,1185.08,215
63,4605,2024-06-01,711.83,959
64,3264,2024-04-15,300.95,37
65,2384,2023-01-28,1283.34,742
66,1224,2023-07-21,2938.59,10
67,4291,2023-08-09,1351.84,945
68,1856,2023-09-23,4852.83,103
69,4269,2024-07-16,3734.5,205
70,2856,2023-08-10,3241.19,391
71,4386,2023-05-24,3320.39,226
72,1926,2024-11-29,4729.54,922
73,868,2024-10-12,871.71,866
74,2459,2024-07-15,3654.4,903
75,1919,2024-09-18,1962.2,967
76,2273,2023-07-17,3370.84,900
77,1637,2024-02-07,4074.68,585
78,174,2023-04-25,3177.75,459
79,3416,2024-04-05,4029.98,846
80,3077,2024-11-11,1003.77,679
