id_pedido,id_cliente,data_pedido,valor_total,id_produto_associado
1,863,2023-05-15,1302.89,75
2,1297,2023-09-11,1824.0,453
3,1969,2023-12-31,561.12,80
4,1514,2024-04-06,3345.3,984
5,141,2024-09-18,970.99,224
6,3807,2024-05-16,900.64,756
7,2448,2024-02-13,549.68,914
8,3165,2023-06-17,3887.5,401
9,554,2023-02-02,106.05,815
10,4319,2024-07-17,2648.73,828
11,3514,2023-07-04,1333.31,916
12,560,2024-10-18,3198.17,406
13,276,2024-05-24,2548.36,875
14,58,2024-10-11,1450.34,384
15,3798,2023-07-16,1206.81,142
16,2551,2023-08-26,4263.12,364
17,72,2023-09-07,4323.74,289
18,4375,2023-04-09,1151.54,261
19,3056,2024-03-04,2030.55,372
20,4903,2024-01-08,4119.49,28
21,1337,2024-01-28,35.88,618
22,3299,2024-04-30,3353.63,324
23,520,2023-03-22,3986.74,70
24,2975,2023-09-13,1494.04,126
25,3665,2023-02-25,2262.02,314
26,4360,2024-05-25,3333.89,242
27,3306,2024-04-02,2324.86,360
28,561,2024-03-31,3423.32,506
29,3238,2024-04-24,449.32,741
30,994,2024-02-06,2047.47,974
31,1913,2023-04-12,633.65,449
32,349,2024-12-16,873.79,158
33,965,2023-08-20,2229.41,687
34,4786,2023-11-22,3118.17,579
35,1041,2024-04-27,1056.72,130
36,4584,2024-09-28,1749.83,926
37,1512,2024-05-10,3670.83,228
38,976,2024-06-11,4174.23,479
39,4671,2023-12-10,3609.04,354
40,4734,2024-01-08,809.48,182
41,2084,2024-05-12,329.71,449
42,1590,2024-11-30,644.96,595
43,4070,2023-01-27,3973.65,572
44,3793,2023-11-08,3911.42,647
45,1316,2023-01-04,879.16,282
46,4050,2024-02-25,3617.82,828
47,3850,2023-01-03,1565.76,195
48,1615,2024-10-13,3148.91,556
49,3395,2024-01-03,297.44,704
50,3010,2024-04-24,12.14,475
51,976,2024-06-19,4279.22,681
52,3197,2024-06-16,2846.19,125
53,4020,2024-03-14,2096.05,295
54,4005,2024-01-26,4407.83,64
55,892,2024-04-22,563.81,618
56,4045,2024-05-07,2750.5,584
57,3199,2023-10-12,2716.46,110
58,2309,2023-07-31,4227.93,683
59,4161,2023-04-10,2574.75,383
60,2010,2024-04-08,2379.92,289
61,3789,2023-08-30,2141.72,236
62,4250,2024-09-06,2330.19,193
63,4354,2023-08-09,1387.63,571
64,4172,2023-01-17,984.69,121
65,1881,2024-06-03,2231.89,446
66,732,2024-03-18,342.76,139
67,746,2023-12-06,2943.37,530
68,4532,2023-07-05,67.73,739
69,3472,2024-01-01,3495.45,5
70,1513,2023-01-26,1020.26,274
71,4369,2023-01-06,3956.54,916
72,4623,2024-10-09,1525.83,784
73,717,2023-05-19,2862.23,195
74,4889,2024-07-29,3105.71,708
75,671,2024-09-28,2986.07,519
76,3820,2023-09-17,2864.37,936
77,4658,2024-04-26,1971.48,953
78,4655,2024-05-03,1752.92,90
79,4859,2023-08-07,1565.7,660
80,1962,2024-07-16,115.51,90
81,2950,2023-10-13,2476.08,833
82,2422,2023-06-25,2284.59,909
83,2619,2024-06-22,4831.45,828
84,4265,2023-02-04,2840.76,520
85,4286,2024-10-11,1868.58,237
86,4371,2023-03-16,1483.89,65
87,1037,2024-07-04,1153.48,605
88,1106,2024-02-08,233.12,911
89,1270,2024-02-26,269.82,722
90,2019,2024-07-08,1120.21,607
91,2489,2024-12-15,3963.37,847
92,3799,2024-09-12,1751.43,332
93,3790,2023-03-31,1319.72,454
94,2805,2024-02-17,4892.85,519
95,366,2024-03-30,762.21,438
96,974,2024-10-04,2901.2,948
97,2568,2023-09-20,984.16,364
98,1310,2023-05-15,2441.05,22
99,102,2024-12-21,2985.41,854
100,3054,2024-12-10,2714.65,571
101,3045,2023-12-15,4698.14,638
102,181,2024-08-19,3633.9,834
103,993,2023-10-25,640.65,879
104,4586,2023-01-19,2017.56,699
105,2824,2023-08-30,787.24,19
106,1103,2023-05-17,600.58,532
107,2365,2023-01-17,2086.37,684
108,2490,2023-02-09,2407.96,217
109,1038,2023-05-05,957.3,830
110,2310,2023-01-09,3834.06,72
111,2391,2024-11-30,917.28,933
112,3409,2023-01-11,2482.85,964
113,4937,2024-10-08,510.96,982
114,4005,2024-01-12,3050.27,461
115,3143,2023-05-26,837.8,144
116,1259,2024-03-26,2213.94,605
117,3890,2023-09-15,2181.63,919
118,865,2023-02-26,2723.48,889
119,1733,2023-10-12,4970.99,428
120,3114,2024-06-09,1956.57,545
121,2912,2023-07-12,3739.96,595
122,3392,2024-06-04,4437.99,879
123,4529,2023-02-11,2935.87,915
124,3759,2024-07-25,263.06,120
125,382,2024-10-04,3254.77,609
126,204,2023-01-02,4491.58,292
127,3195,2024-09-13,2824.98,363
128,3941,2024-07-25,2597.5,74
129,2013,2024-04-03,3683.68,303
130,1750,2024-05-29,2810.89,312
131,2149,2023-12-11,3859.23,467
132,4089,2024-06-02,4859.39,722
133,4367,2023-11-18,2005.74,606
134,1808,2024-06-21,2103.32,941
135,1956,2023-01-26,797.94,903
136,65,2023-03-18,4828.6,495
137,3881,2023-07-11,752.57,663
138,476,2023-06-01,1315.82,527
139,3305,2023-08-17,4855.9,402
140,2623,2023-12-13,282.49,398
141,124,2024-01-04,3406.33,69
142,3182,2024-12-20,1035.99,721
143,4641,2024-02-17,2192.24,652
144,1170,2023-11-12,3110.36,142
145,2609,2023-02-13,2821.89,11
146,1798,2023-02-01,17.04,316
147,46,2023-07-16,3740.89,870
148,3064,2024-04-27,3584.14,493
149,3360,2024-05-06,2520.46,559
150,1668,2023-12-08,4948.79,958
151,2740,2024-09-09,346.36,665
152,1558,2024-08-05,3958.55,369
153,1123,2023-03-16,1037.64,171
154,2251,2024-11-22,3359.95,421
155,3314,2023-11-09,3190.56,625
156,1227,2023-11-24,999.01,136
157,1053,2024-02-29,3946.43,214
158,2379,2024-05-05,2271.67,864
159,3584,2024-09-23,2835.29,747
160,4478,2023-05-23,2933.09,857
161,4769,2024-09-06,2085.21,507
162,2895,2024-03-22,1416.89,357
163,3917,2024-09-20,2298.17,987
164,1312,2023-04-05,2114.69,834
165,4768,2024-10-21,786.62,1
166,4840,2024-03-28,907.63,493
167,2201,2023-05-06,183.43,737
168,3801,2024-09-15,1241.43,22
169,3876,2023-11-07,2290.7,71
170,712,2024-12-09,1511.73,539
171,3334,2024-06-29,4378.64,111
172,1774,2023-12-24,1243.61,580
173,2211,2024-03-21,4657.26,104
174,4731,2023-04-21,4258.63,871
175,1940,2023-08-04,4863.92,135
176,3066,2023-09-03,1398.12,375
177,727,2023-03-12,3700.12,916
178,1439,2024-10-11,230.47,212
179,3595,2024-01-08,2813.87,525
180,2424,2023-12-15,3818.54,285
181,2146,2024-10-11,2723.27,902
182,3247,2023-07-26,4574.04,328
183,1087,2023-09-25,3613.08,602
184,1149,2024-05-30,1619.75,708
185,4746,2023-09-06,277.72,108
186,2892,2023-01-20,2147.78,406
187,3642,2023-07-04,2247.52,976
188,3721,2024-10-08,3574.51,832
189,4792,2024-01-20,3068.08,866
190,1342,2023-06-17,956.86,573
191,3920,2024-03-14,2866.42,336
192,4761,2023-02-07,3700.76,84
193,4420,2024-03-15,3419.92,947
194,3202,2024-08-26,295.82,139
195,1885,2024-07-16,4703.01,278
196,1717,2024-08-30,175.4,816
197,1984,2023-12-19,1943.84,852
198,4472,2024-12-18,2407.23,941
199,3140,2023-11-18,4132.41,460
200,4532,2023-02-24,3724.86,909
201,1266,2024-05-06,38.58,173
202,1496,2024-04-27,758.2,784
203,3039,2023-02-17,711.99,76
204,3970,2023-05-27,158.24,577
205,1394,2023-01-27,1822.0,489
206,1134,2024-01-27,2811.67,856
207,1827,2024-03-20,356.88,554
208,429,2023-12-04,4837.45,730
209,1037,2024-07-13,3247.49,613
210,2711,2024-03-16,4691.13,980
211,2839,2024-10-16,1855.88,719
212,2711,2024-12-30,4569.74,590
213,756,2024-01-29,2027.46,24
214,3311,2024-02-05,2343.59,264
215,1991,2023-02-13,2718.25,634
216,1305,2023-11-17,335.65,951
217,3151,2024-09-11,2361.07,473
218,4124,2023-09-09,4889.17,802
219,2013,2024-01-30,251.36,807
220,4902,2023-02-10,1186.28,227
221,1182,2024-09-01,1023.37,510
222,1462,2023-05-10,3176.85,156
223,4341,2023-01-26,4678.96,459
224,1771,2023-02-15,4420.48,250
225,1264,2023-06-01,1761.97,202
226,3543,2023-12-23,905.08,572
227,909,2024-12-29,1957.85,387
228,1644,2024-10-28,1487.06,738
229,2559,2024-10-20,1959.28,897
230,4287,2023-07-24,1955.82,664
231,3491,2024-09-04,1886.76,518
232,255,2023-07-18,2641.84,570
233,4041,2023-06-24,4642.39,825
234,2540,2023-01-10,1846.99,752
235,2299,2024-11-20,1471.1,21
236,2695,2023-11-05,387.28,569
237,5,2024-05-16,4836.97,874
238,4516,2023-04-22,810.3,816
239,1366,2023-01-15,1672.22,573
240,3543,2024-10-12,4571.85,391
241,3582,2023-04-17,530.84,722
