id_produto,nome_produto,categoria,preco
1,Produto 1,Eletrônicos,756.78
2,Produto 2,Brinquedos,419.38
3,Produto 3,Esportes,218.81
4,Produto 4,Eletrônicos,691.48
5,Produto 5,Brinquedos,535.66
6,Produto 6,Roupas,198.54
7,Produto 7,Eletrônicos,268.56
8,Produto 8,Esportes,644.91
9,Produto 9,Brinquedos,72.63
10,Produto 10,Alimentos,24.32
11,Produto 11,Alimentos,236.33
12,Produto 12,Brinquedos,479.35
13,Produto 13,Roupas,419.62
14,Produto 14,Livros,940.98
15,Produto 15,Livros,174.07
16,Produto 16,Eletrônicos,256.32
17,Produto 17,Artigos para Casa,749.08
18,Produto 18,Brinquedos,671.56
19,Produto 19,Livros,829.83
20,Produto 20,Brinquedos,892.56
21,Produto 21,Eletrônicos,371.29
22,Produto 22,Roupas,685.88
23,Produto 23,Roupas,5.01
24,Produto 24,Artigos para Casa,663.13
25,Produto 25,Alimentos,749.27
26,Produto 26,Artigos para Casa,432.64
27,Produto 27,Roupas,677.9
28,Produto 28,Brinquedos,53.16
29,Produto 29,Brinquedos,376.46
30,Produto 30,Livros,116.51
31,Produto 31,Alimentos,247.64
32,Produto 32,Artigos para Casa,512.53
33,Produto 33,Livros,14.65
34,Produto 34,Brinquedos,533.12
35,Produto 35,Artigos para Casa,12.57
36,Produto 36,Eletrônicos,935.35
37,Produto 37,Livros,139.98
38,Produto 38,Livros,724.35
39,Produto 39,Roupas,201.43
40,Produto 40,Alimentos,55.11
41,Produto 41,Roupas,307.82
42,Produto 42,Beleza,806.14
43,Produto 43,Roupas,558.71
44,Produto 44,Brinquedos,839.72
45,Produto 45,Artigos para Casa,662.04
46,Produto 46,Livros,314.88
47,Produto 47,Eletrônicos,275.79
48,Produto 48,Esportes,567.2
49,Produto 49,Esportes,792.56
50,Produto 50,Esportes,420.04
51,Produto 51,Alimentos,235.63
52,Produto 52,Eletrônicos,917.81
53,Produto 53,Alimentos,932.7
54,Produto 54,Eletrônicos,511.48
55,Produto 55,Eletrônicos,449.68
56,Produto 56,Roupas,187.62
57,Produto 57,Esportes,848.49
58,Produto 58,Beleza,455.36
59,Produto 59,Roupas,702.2
60,Produto 60,Alimentos,353.54
61,Produto 61,Roupas,335.16
62,Produto 62,Eletrônicos,473.73
63,Produto 63,Eletrônicos,556.91
64,Produto 64,Livros,879.74
65,Produto 65,Artigos para Casa,649.16
66,Produto 66,Roupas,728.26
67,Produto 67,Esportes,417.83
68,Produto 68,Alimentos,756.78
69,Produto 69,Alimentos,98.98
70,Produto 70,Beleza,359.8
71,Produto 71,Artigos para Casa,610.11
72,Produto 72,Artigos para Casa,372.71
73,Produto 73,Alimentos,671.54
74,Produto 74,Livros,790.02
75,Produto 75,Beleza,498.29
76,Produto 76,Esportes,648.43
77,Produto 77,Livros,554.92
78,Produto 78,Eletrônicos,507.2
79,Produto 79,Esportes,487.15
80,Produto 80,Brinquedos,514.15
81,Produto 81,Artigos para Casa,551.22
82,Produto 82,Livros,31.35
83,Produto 83,Beleza,666.0
84,Produto 84,Livros,815.81
85,Produto 85,Esportes,350.54
86,Produto 86,Roupas,69.06
87,Produto 87,Beleza,285.68
88,Produto 88,Artigos para Casa,371.91
89,Produto 89,Eletrônicos,229.54
90,Produto 90,Roupas,698.1
91,Produto 91,Livros,965.19
92,Produto 92,Roupas,181.62
93,Produto 93,Brinquedos,912.6
94,Produto 94,Brinquedos,250.91
95,Produto 95,Livros,282.35
96,Produto 96,Brinquedos,757.38
97,Produto 97,Esportes,560.88
98,Produto 98,Livros,179.72
99,Produto 99,Roupas,241.99
100,Produto 100,Esportes,243.21
101,Produto 101,Artigos para Casa,476.78
102,Produto 102,Alimentos,712.69
103,Produto 103,Eletrônicos,283.35
104,Produto 104,Alimentos,585.82
105,Produto 105,Beleza,689.8
106,Produto 106,Alimentos,579.67
107,Produto 107,Artigos para Casa,53.51
108,Produto 108,Esportes,973.94
109,Produto 109,Eletrônicos,888.56
110,Produto 110,Alimentos,144.22
111,Produto 111,Eletrônicos,423.15
112,Produto 112,Brinquedos,384.3
113,Produto 113,Esportes,725.76
114,Produto 114,Brinquedos,288.56
115,Produto 115,Eletrônicos,840.83
116,Produto 116,Roupas,208.38
117,Produto 117,Livros,443.35
118,Produto 118,Roupas,653.52
119,Produto 119,Roupas,434.34
120,Produto 120,Brinquedos,186.13
121,Produto 121,Roupas,770.94
122,Produto 122,Beleza,987.16
123,Produto 123,Eletrônicos,30.69
124,Produto 124,Esportes,489.1
125,Produto 125,Roupas,832.9
126,Produto 126,Beleza,987.86
127,Produto 127,Eletrônicos,552.99
128,Produto 128,Esportes,14.73
129,Produto 129,Brinquedos,642.15
130,Produto 130,Alimentos,997.99
131,Produto 131,Roupas,930.39
132,Produto 132,Brinquedos,584.82
133,Produto 133,Brinquedos,472.34
134,Produto 134,Artigos para Casa,863.57
135,Produto 135,Beleza,10.74
136,Produto 136,Esportes,726.61
137,Produto 137,Beleza,768.4
138,Produto 138,Alimentos,345.72
139,Produto 139,Roupas,613.62
140,Produto 140,Brinquedos,414.65
141,Produto 141,Livros,28.75
142,Produto 142,Alimentos,623.08
143,Produto 143,Roupas,351.0
144,Produto 144,Brinquedos,264.57
145,Produto 145,Alimentos,40.35
146,Produto 146,Esportes,295.02
147,Produto 147,Livros,421.85
148,Produto 148,Eletrônicos,14.77
149,Produto 149,Artigos para Casa,480.56
150,Produto 150,Artigos para Casa,228.25
151,Produto 151,Roupas,702.36
152,Produto 152,Alimentos,397.84
153,Produto 153,Artigos para Casa,909.81
154,Produto 154,Roupas,256.09
155,Produto 155,Eletrônicos,801.18
156,Produto 156,Livros,116.69
157,Produto 157,Esportes,945.9
158,Produto 158,Artigos para Casa,21.58
159,Produto 159,Esportes,808.44
160,Produto 160,Artigos para Casa,454.46
161,Produto 161,Alimentos,332.13
162,Produto 162,Alimentos,20.38
163,Produto 163,Beleza,176.85
164,Produto 164,Livros,564.84
165,Produto 165,Esportes,377.44
166,Produto 166,Eletrônicos,772.73
167,Produto 167,Artigos para Casa,921.35
168,Produto 168,Livros,395.39
169,Produto 169,Livros,209.95
170,Produto 170,Roupas,381.3
171,Produto 171,Livros,878.74
172,Produto 172,Brinquedos,832.35
173,Produto 173,Esportes,902.51
174,Produto 174,Esportes,669.19
175,Produto 175,Alimentos,600.94
176,Produto 176,Roupas,458.88
177,Produto 177,Alimentos,389.09
178,Produto 178,Brinquedos,692.63
179,Produto 179,Eletrônicos,304.59
180,Produto 180,Roupas,581.63
181,Produto 181,Eletrônicos,842.74
182,Produto 182,Alimentos,755.51
183,Produto 183,Alimentos,893.29
184,Produto 184,Eletrônicos,522.41
185,Produto 185,Esportes,539.63
186,Produto 186,Artigos para Casa,547.62
