id_produto,nome_produto,categoria,preco
1,Produto 1,Brinquedos,28.87
2,Produto 2,Beleza,985.16
3,Produto 3,Esportes,620.56
4,Produto 4,Brinquedos,781.93
5,Produto 5,Roupas,226.79
6,Produto 6,Eletrônicos,846.87
7,Produto 7,Roupas,599.83
8,Produto 8,Esportes,745.16
9,Produto 9,Eletrônicos,207.96
10,Produto 10,Livros,375.09
11,Produto 11,Brinquedos,48.52
12,Produto 12,Eletrônicos,758.69
13,Produto 13,Brinquedos,866.24
14,Produto 14,Brinquedos,323.08
15,Produto 15,Artigos para Casa,715.96
16,Produto 16,Alimentos,980.37
17,Produto 17,Beleza,697.51
18,Produto 18,Artigos para Casa,143.59
19,Produto 19,Artigos para Casa,185.55
20,Produto 20,Artigos para Casa,21.3
21,Produto 21,Esportes,797.47
22,Produto 22,Alimentos,766.58
23,Produto 23,Alimentos,958.59
24,Produto 24,Beleza,321.52
25,Produto 25,Roupas,198.02
26,Produto 26,Artigos para Casa,397.78
27,Produto 27,Esportes,514.24
28,Produto 28,Brinquedos,527.64
29,Produto 29,Beleza,397.26
30,Produto 30,Roupas,448.07
31,Produto 31,Roupas,886.34
32,Produto 32,Esportes,908.68
33,Produto 33,Roupas,600.74
34,Produto 34,Brinquedos,141.49
35,Produto 35,Roupas,376.41
36,Produto 36,Livros,155.08
37,Produto 37,Eletrônicos,463.03
38,Produto 38,Brinquedos,418.02
39,Produto 39,Beleza,436.16
40,Produto 40,Brinquedos,741.13
41,Produto 41,Roupas,259.05
42,Produto 42,Eletrônicos,864.91
43,Produto 43,Esportes,78.41
44,Produto 44,Alimentos,89.42
45,Produto 45,Beleza,933.93
46,Produto 46,Roupas,719.89
47,Produto 47,Roupas,359.93
48,Produto 48,Eletrônicos,990.65
49,Produto 49,Brinquedos,246.44
50,Produto 50,Brinquedos,600.22
51,Produto 51,Livros,890.82
52,Produto 52,Brinquedos,306.95
53,Produto 53,Eletrônicos,390.59
54,Produto 54,Eletrônicos,507.17
55,Produto 55,Alimentos,930.72
56,Produto 56,Esportes,943.26
57,Produto 57,Esportes,935.2
58,Produto 58,Brinquedos,420.41
59,Produto 59,Artigos para Casa,644.32
60,Produto 60,Esportes,519.56
61,Produto 61,Livros,792.38
62,Produto 62,Alimentos,753.74
63,Produto 63,Esportes,986.62
64,Produto 64,Artigos para Casa,579.98
65,Produto 65,Artigos para Casa,58.7
66,Produto 66,Livros,916.9
67,Produto 67,Beleza,647.72
68,Produto 68,Beleza,922.59
69,Produto 69,Artigos para Casa,58.74
70,Produto 70,Brinquedos,809.77
71,Produto 71,Beleza,211.05
72,Produto 72,Esportes,282.13
73,Produto 73,Beleza,702.62
